ID,Acceleration,Added on,Age,Aggression,Agility,Att. WR,Balance,Ball Control,Club,Composure,Crossing,Curve,Def. WR,Defending,Diving,Dribbling,FK. Accuracy,Finishing,Foot,Fullname,Handling,Heading Accuracy,Height,Interceptions,Intl. Rep,Jumping,Kicking,League,Long Passing,Long Shots,Marking,Nation,Origin,Pace,Passing,Penalties,Physicality,Positioning,R.Face,Reactions,Reflexes,Revision,Shooting,Short Passing,Shot Power,Skills,Sliding Tackle,Sprint Speed,Stamina,Standing Tackle,Strength,Vision,Volleys,Weak Foot,Weight
21,94,2018-09-19,41 years old,88,90,Med,90,66,Icons,90,82,87,Med,53,,66,82,93,Right,Thierry Henry,,53,"188cm | 6'2""",53,,80,,Icons,80,94,53,France,N\A,94,83,88,80,91,,90,,Icon,91,80,93,4,85,94,70,85,70,83,94,4,83
22,86,2018-09-19,51 years old,76,92,Med,81,82,Icons,89,95,90,Low,40,,82,95,88,Right,Roberto Baggio,,38,"174cm | 5'9""",40,,61,,Icons,87,88,38,Italy,N\A,86,92,74,61,84,,81,,Icon,84,87,88,5,75,88,65,75,65,92,88,4,73
23,94,2018-09-19,76 years old,93,93,High,94,92,Icons,94,88,87,Med,45,,92,88,95,Right,Eusébio da Silva Ferreira,,39,"175cm | 5'9""",45,,79,,Icons,87,94,39,Portugal,N\A,94,86,94,79,94,,94,,Icon,94,87,95,4,88,93,88,88,88,86,94,5,76
24,93,2018-09-28,26 years old,82,96,High,97,84,Paris Saint-Germain,94,88,88,Med,33,,84,88,90,Right,Neymar da Silva Santos Jr.,,37,"175cm | 5'9""",33,5,60,,Ligue 1 Conforama,79,88,37,Brazil,N\A,93,84,80,60,85,,97,,CL,85,79,90,5,63,95,62,63,62,84,88,5,68
25,93,2018-10-03,26 years old,82,96,High,97,84,Paris Saint-Germain,94,89,89,Med,33,,84,89,91,Right,Neymar da Silva Santos Jr.,,37,"175cm | 5'9""",33,5,60,,Ligue 1 Conforama,80,89,37,Brazil,TOTW3,93,85,81,60,86,,97,,IF,86,80,91,5,63,95,62,63,62,85,89,5,68
26,93,2018-10-12,27 years old,86,96,High,97,96,Chelsea,91,93,82,Med,38,,96,93,91,Right,Eden Hazard,,44,"173cm | 5'8""",38,4,70,,Premier League,84,88,44,Belgium,N\A,93,90,83,70,86,,97,,PL POTM,86,84,91,4,66,95,58,66,58,90,88,4,74
27,70,2018-09-19,40 years old,85,58,Med,54,55,Icons,90,58,48,High,94,,55,58,41,Right,Carles Puyol Saforcada,,96,"178cm | 5'10""",94,,90,,Icons,70,35,96,Spain,N\A,70,68,71,90,45,,54,,Icon,45,70,41,2,92,69,86,92,86,68,35,3,80
28,92,2018-09-19,46 years old,87,92,High,91,81,Icons,89,88,83,Low,41,,81,88,91,Right,Luís Filipe Madeira Caeiro Figo,,42,"180cm | 5'11""",41,,80,,Icons,92,89,42,Portugal,N\A,92,89,85,80,88,,91,,Icon,88,92,91,4,64,93,72,64,72,89,89,4,75
29,83,2018-09-19,44 years old,82,92,Med,84,66,Icons,89,94,91,Med,43,,66,94,94,Right,Alessandro Del Piero,,41,"174cm | 5'9""",43,,67,,Icons,89,95,41,Italy,N\A,83,89,86,67,92,,84,,Icon,92,89,94,4,76,84,58,76,58,89,95,5,74
30,88,2018-09-19,57 years old,85,86,High,83,79,Icons,92,72,67,Low,36,,79,72,94,Right,Gary Lineker,,43,"177cm | 5'10""",36,,76,,Icons,62,95,43,England,N\A,88,73,88,76,91,,83,,Icon,91,62,94,3,88,90,78,88,78,73,95,4,74
31,68,2018-09-19,77 years old,93,78,Med,82,83,Icons,93,81,66,Med,93,,83,81,61,Right,Bobby Moore,,92,"178cm | 5'10""",93,,85,,Icons,72,55,92,England,N\A,68,83,77,85,64,,82,,Icon,64,72,61,2,88,69,84,88,84,83,55,3,72
32,94,2018-09-19,55 years old,84,92,Med,91,90,Icons,91,89,77,Low,41,,90,89,92,Right,Emilio Butragueño Santos,,45,"168cm | 5'6""",41,,68,,Icons,75,95,45,Spain,N\A,94,80,87,68,90,,91,,Icon,90,75,92,3,88,95,84,88,84,80,95,5,68
33,80,2018-09-19,45 years old,78,68,Low,85,82,Icons,91,50,37,High,95,,82,50,36,Right,Fabio Cannavaro,,96,"176cm | 5'9""",95,,85,,Icons,59,34,96,Italy,N\A,80,63,57,85,43,,85,,Icon,43,59,36,2,90,84,93,90,93,63,34,3,74
34,86,2018-09-19,42 years old,79,85,High,74,72,Icons,95,72,78,Low,37,,72,72,91,Right,Ruud van Nistelrooy,,23,"188cm | 6'2""",37,,82,,Icons,74,95,23,Holland,N\A,86,74,92,82,91,,74,,Icon,91,74,91,3,88,85,77,88,77,74,95,3,80
35,82,2018-09-19,50 years old,80,68,Med,61,64,Icons,95,69,31,High,95,,64,69,39,Right,Paolo Maldini,,96,"186cm | 6'1""",95,,81,,Icons,77,57,96,Italy,N\A,82,74,73,81,56,,61,,Icon,56,77,39,2,92,82,82,92,82,74,57,4,83
36,90,2018-09-19,44 years old,89,91,High,82,82,Icons,84,86,83,Med,44,,82,86,88,Left,Ryan Giggs,,46,"179cm | 5'10""",44,,67,,Icons,94,83,46,Wales,N\A,90,90,74,67,80,,82,,Icon,80,94,88,3,57,91,61,57,61,90,83,2,71
37,86,2018-09-19,45 years old,92,85,High,79,85,Icons,91,84,58,High,90,,85,84,77,Right,Javier Zanetti,,93,"178cm | 5'10""",90,,81,,Icons,95,62,93,Argentina,N\A,86,88,75,81,63,,79,,Icon,63,95,77,2,85,85,50,85,50,88,62,4,74
38,84,2018-09-19,49 years old,82,90,Med,81,82,Icons,95,91,84,Med,37,,82,91,94,Right,Dennis Bergkamp,,30,"183cm | 6'0""",37,,78,,Icons,84,93,30,Holland,N\A,84,86,91,78,91,,81,,Icon,91,84,94,4,64,85,78,64,78,86,93,4,78
39,72,2018-09-19,42 years old,73,67,Med,38,52,Icons,89,58,33,High,94,,52,58,37,Right,Alessandro Nesta,,93,"187cm | 6'2""",94,,86,,Icons,54,39,93,Italy,N\A,72,65,50,86,42,,38,,Icon,42,54,37,2,86,74,84,86,84,65,39,3,79
40,92,2018-09-19,55 years old,70,94,Med,48,46,Icons,88,74,31,Med,52,92,46,74,34,Right,Peter Schmeichel,87,40,"193cm | 6'4""",52,,90,88,Icons,35,34,40,Denmark,N\A,92,88,40,90,87,,48,94,Icon,87,35,34,1,41,52,75,41,75,88,34,3,92
41,92,2018-09-19,52 years old,86,92,Med,90,84,Icons,89,88,89,Med,50,,84,88,92,Left,Hristo Stoichkov,,53,"178cm | 5'10""",50,,86,,Icons,85,94,53,Bulgaria,N\A,92,86,92,86,93,,90,,Icon,93,85,92,4,82,93,79,82,79,86,94,3,73
42,78,2018-09-19,27 years old,91,88,High,79,77,Manchester City,92,95,83,High,61,,77,95,88,Right,Kevin De Bruyne,,61,"181cm | 5'11""",61,4,79,,Premier League,94,83,61,Belgium,N\A,78,93,92,79,87,,79,,CL,87,94,88,4,55,79,63,55,63,93,83,5,70
43,81,2018-09-19,31 years old,91,88,High,82,83,FC Barcelona,94,85,85,Med,53,,83,85,93,Right,Luis Suárez,,41,"182cm | 6'0""",53,5,86,,LaLiga Santander,77,95,41,Uruguay,N\A,81,80,86,86,91,,82,,CL,91,77,93,3,78,87,69,78,69,80,95,4,86
44,76,2018-09-19,32 years old,85,73,High,79,66,Real Madrid,86,63,67,Med,92,,66,63,52,Right,Sergio Ramos García,,90,"184cm | 6'0""",92,4,85,,LaLiga Santander,66,60,90,Spain,N\A,76,72,80,85,64,,79,,CL,64,66,52,3,92,77,94,92,94,72,60,3,82
45,77,2018-09-19,33 years old,90,92,High,94,95,Real Madrid,90,93,78,High,71,,95,93,80,Right,Luka Modric,,84,"172cm | 5'8""",71,4,68,,LaLiga Santander,86,72,84,Croatia,N\A,77,91,80,68,77,,94,,CL,77,86,80,4,55,81,69,55,69,91,72,4,66
46,92,2018-09-19,26 years old,81,95,High,96,84,Paris Saint-Germain,94,87,87,Med,32,,84,87,89,Right,Neymar da Silva Santos Jr.,,36,"175cm | 5'9""",32,5,59,,Ligue 1 Conforama,79,87,36,Brazil,N\A,92,83,80,59,84,,96,,Normal,84,79,89,5,62,94,61,62,61,83,87,5,68
47,92,2018-09-19,27 years old,84,95,High,96,95,Chelsea,90,91,80,Med,37,,95,91,89,Right,Eden Hazard,,43,"173cm | 5'8""",37,4,68,,Premier League,82,86,43,Belgium,TOTW1,92,88,81,68,84,,96,,IF,84,82,89,4,64,94,56,64,56,88,86,4,74
48,87,2018-09-19,46 years old,85,92,Med,90,77,Icons,93,88,92,Low,44,,77,88,91,Left,Rivaldo Vítor Borba Ferreira,,38,"186cm | 6'1""",44,,78,,Icons,89,89,38,Brazil,N\A,87,88,94,78,91,,90,,Icon,91,89,91,4,77,86,75,77,75,88,89,2,75
49,88,2018-09-19,41 years old,88,90,High,88,92,Icons,92,94,78,Med,47,,92,94,96,Left,Raúl González Blanco,,41,"180cm | 5'11""",47,,75,,Icons,70,96,41,Spain,N\A,88,82,87,75,92,,88,,Icon,92,70,96,4,96,87,91,96,91,82,96,4,68
50,91,2018-09-28,28 years old,43,95,Med,60,43,Manchester United,90,68,19,Med,58,91,43,68,12,Right,David De Gea Quintana,86,30,"193cm | 6'4""",58,4,89,88,Premier League,17,13,30,Spain,N\A,91,88,31,89,86,,60,95,CL,86,17,12,1,21,58,67,21,67,88,13,3,76
51,81,2018-10-31,31 years old,91,88,High,82,83,FC Barcelona,94,86,86,Med,54,,83,86,93,Right,Luis Suárez,,42,"182cm | 6'0""",54,5,86,,LaLiga Santander,78,95,42,Uruguay,TOTW7,81,81,86,86,91,,82,,IF,91,78,93,3,79,87,69,79,69,81,95,4,86
52,85,2018-09-19,54 years old,78,92,Med,87,82,Icons,89,94,79,Med,38,,82,94,85,Right,Michael Laudrup,,37,"183cm | 6'0""",38,,64,,Icons,93,80,37,Denmark,N\A,85,90,75,64,79,,87,,Icon,79,93,85,4,69,86,65,69,65,90,80,4,78
53,72,2018-09-19,44 years old,94,80,High,68,89,Icons,89,94,73,Med,64,,89,94,92,Right,Paul Scholes,,82,"171cm | 5'7""",64,,82,,Icons,89,84,82,England,N\A,72,91,91,82,87,,68,,Icon,87,89,92,3,83,73,85,83,85,91,84,3,71
54,79,2018-09-19,53 years old,89,78,Med,70,70,Icons,88,58,72,High,92,,70,58,61,Right,Laurent Blanc,,90,"192cm | 6'4""",92,,86,,Icons,57,67,90,France,N\A,79,70,77,86,69,,70,,Icon,69,57,61,2,86,77,77,86,77,70,67,3,82
55,83,2018-09-19,53 years old,78,90,Med,86,84,Icons,88,89,94,Low,43,,84,89,88,Left,Gheorghe Hagi,,44,"172cm | 5'8""",43,,65,,Icons,89,85,44,Romania,N\A,83,90,93,65,89,,86,,Icon,89,89,88,4,58,84,74,58,74,90,85,4,68
56,73,2018-09-19,50 years old,83,70,Med,65,85,Icons,85,72,75,High,93,,85,72,66,Right,Fernando Hierro Ruiz,,94,"187cm | 6'2""",93,,87,,Icons,64,56,94,Spain,N\A,73,76,83,87,68,,65,,Icon,68,64,66,2,94,73,92,94,92,76,56,3,84
57,88,2018-09-19,45 years old,84,89,Med,81,79,Icons,84,91,84,Med,40,,79,91,88,Right,Robert Pirès,,47,"187cm | 6'2""",40,,64,,Icons,89,86,47,France,N\A,88,88,77,64,82,,81,,Icon,82,89,88,4,53,88,76,53,76,88,86,4,74
58,87,2018-09-19,57 years old,90,77,High,74,77,Icons,87,90,90,High,89,,77,90,86,Right,Lothar Matthäus,,92,"174cm | 5'9""",89,,82,,Icons,81,77,92,Germany,N\A,87,86,92,82,84,,74,,Icon,84,81,86,3,77,90,72,77,72,86,77,4,70
59,91,2018-09-19,38 years old,81,92,High,92,86,Icons,91,90,89,Low,36,,86,90,85,Right,de Assis Moreira Ronaldo,,26,"180cm | 5'11""",36,,79,,Icons,89,88,26,Brazil,N\A,91,88,84,79,86,,92,,Icon,86,89,85,5,51,93,84,51,84,88,88,4,76
60,90,2018-09-19,38 years old,80,88,Med,86,85,Icons,91,74,68,Med,34,,85,74,94,Right,Michael Owen,,24,"173cm | 5'8""",34,,67,,Icons,69,94,24,England,N\A,90,70,86,67,89,,86,,Icon,89,69,94,3,84,91,84,84,84,70,94,4,70
61,81,2018-09-19,48 years old,84,78,High,71,71,Icons,87,76,86,Med,52,,71,76,92,Right,Alan Shearer,,44,"182cm | 6'0""",52,,85,,Icons,77,95,44,England,N\A,81,77,94,85,93,,71,,Icon,93,77,92,2,94,82,88,94,88,77,95,3,78
62,83,2018-09-19,50 years old,83,67,Med,59,56,Icons,87,73,41,High,90,,56,73,52,Right,Marcel Desailly,,91,"185cm | 6'1""",90,,90,,Icons,45,40,91,France,N\A,83,66,73,90,52,,59,,Icon,52,45,52,2,89,82,84,89,84,66,40,3,81
63,88,2018-09-19,42 years old,77,87,High,81,79,Icons,88,76,90,High,34,,79,76,94,Right,Andriy Shevchenko,,38,"183cm | 6'0""",34,,75,,Icons,63,93,38,Ukraine,N\A,88,72,92,75,92,,81,,Icon,92,63,94,3,86,86,86,86,86,72,93,4,72
64,86,2018-09-19,42 years old,79,83,High,76,77,Icons,90,84,78,Low,41,,77,84,92,Right,Patrick Kluivert,,39,"188cm | 6'2""",41,,82,,Icons,67,90,39,Holland,N\A,86,80,92,82,88,,76,,Icon,88,67,92,4,92,86,91,92,91,80,90,4,81
65,85,2018-09-19,48 years old,30,89,Med,42,45,Icons,83,70,9,Med,40,85,45,70,10,Right,Edwin van der Sar,90,25,"197cm | 6'6""",40,,95,81,Icons,11,6,25,Holland,N\A,85,81,25,95,90,,42,89,Icon,90,11,10,1,10,40,74,10,74,81,6,3,83
66,83,2018-09-19,42 years old,94,85,Med,74,70,Icons,89,89,60,High,90,,70,89,79,Right,Patrick Vieira,,94,"192cm | 6'4""",90,,91,,Icons,67,78,94,France,N\A,83,82,84,91,80,,74,,Icon,80,67,79,3,83,85,81,83,81,82,78,3,83
67,77,2018-09-19,38 years old,89,85,High,71,69,Icons,87,88,82,Med,77,,69,88,89,Right,Steven Gerrard,,76,"183cm | 6'0""",77,,84,,Icons,88,88,76,England,N\A,77,90,92,84,90,,71,,Icon,90,88,89,3,75,75,74,75,74,90,88,3,83
68,93,2018-09-19,89 years old,48,93,Med,81,66,Icons,89,77,28,Med,67,93,66,77,32,Right,Lev Yashin,85,41,"189cm | 6'2""",67,,92,73,Icons,31,13,41,Russia,N\A,93,73,34,92,85,,81,93,Icon,85,31,32,1,18,67,89,18,89,73,13,3,82
69,85,2018-09-19,46 years old,90,90,High,82,78,Icons,88,90,88,Med,60,,78,90,89,Right,Pavel Nedvěd,,64,"177cm | 5'10""",60,,81,,Icons,90,84,64,Czech Republic,N\A,85,90,91,81,88,,82,,Icon,88,90,89,4,78,84,70,78,70,90,84,5,72
70,94,2018-09-19,78 years old,88,93,High,97,94,Icons,92,91,86,Med,53,,94,91,92,Right,Arantes Nascimento Edson,,61,"172cm | 5'8""",53,,73,,Icons,87,91,61,Brazil,N\A,94,88,84,73,89,,97,,Icon,89,87,92,5,83,94,88,83,88,88,91,4,68
71,79,2018-09-19,54 years old,72,87,Med,80,70,Icons,92,78,77,Low,40,,70,78,97,Right,Marco van Basten,,48,"188cm | 6'2""",40,,70,,Icons,73,95,48,Holland,N\A,79,75,92,70,92,,80,,Icon,92,73,97,3,88,77,78,88,78,75,95,4,80
72,93,2018-09-19,58 years old,80,94,High,91,98,Icons,87,90,91,Med,38,,98,90,88,Left,Diego Maradona,,38,"165cm | 5'5""",38,,76,,Icons,84,89,38,Argentina,N\A,93,87,80,76,87,,91,,Icon,87,84,88,5,66,95,84,66,84,87,89,3,68
73,92,2018-09-19,45 years old,94,81,High,79,87,Icons,91,75,97,High,86,,87,75,70,Left,Roberto Carlos Da Silva Junior,,93,"168cm | 5'6""",86,,86,,Icons,89,76,93,Brazil,N\A,92,84,97,86,83,,79,,Icon,83,89,70,3,78,93,84,78,84,84,76,2,69
74,90,2018-09-19,28 years old,43,94,Med,60,43,Manchester United,90,68,19,Med,57,90,43,68,12,Right,David De Gea Quintana,85,30,"193cm | 6'4""",57,4,88,87,Premier League,17,13,30,Spain,N\A,90,87,31,88,85,,60,94,Normal,85,17,12,1,21,57,67,21,67,87,13,3,76
75,77,2018-09-19,27 years old,90,87,High,79,77,Manchester City,91,94,83,High,60,,77,94,87,Right,Kevin De Bruyne,,60,"181cm | 5'11""",60,4,78,,Premier League,93,83,60,Belgium,N\A,77,92,91,78,86,,79,,Normal,86,93,87,4,55,78,63,55,63,92,83,5,70
76,80,2018-09-19,31 years old,90,87,High,82,83,FC Barcelona,93,84,84,Med,52,,83,84,92,Right,Luis Suárez,,41,"182cm | 6'0""",52,5,85,,LaLiga Santander,77,94,41,Uruguay,N\A,80,79,86,85,90,,82,,Normal,90,77,92,3,77,86,69,77,69,79,94,4,86
77,91,2018-09-19,27 years old,83,94,High,95,94,Chelsea,90,89,79,Med,35,,94,89,87,Right,Eden Hazard,,41,"173cm | 5'8""",35,4,67,,Premier League,81,84,41,Belgium,N\A,91,86,80,67,82,,95,,Normal,82,81,87,4,61,93,56,61,56,86,84,4,74
78,79,2018-09-19,30 years old,78,86,High,78,78,FC Bayern München,91,78,87,Med,42,,78,78,92,Right,Robert Lewandowski,,39,"184cm | 6'0""",42,4,83,,Bundesliga,62,92,39,Poland,N\A,79,76,88,83,90,,78,,CL,90,62,92,4,87,77,85,87,85,76,92,4,80
79,92,2018-09-19,32 years old,43,89,Med,51,35,FC Bayern München,84,70,11,Med,55,92,35,70,12,Right,Manuel Neuer,89,30,"193cm | 6'4""",55,5,89,92,Bundesliga,15,13,30,Germany,N\A,92,92,25,89,89,,51,89,CL,89,15,12,1,25,55,77,25,77,92,13,4,92
80,88,2018-09-19,26 years old,38,89,Med,61,45,Real Madrid,84,44,20,Med,47,88,45,44,13,Left,Thibaut Courtois,92,15,"199cm | 6'6""",47,4,88,75,LaLiga Santander,14,14,15,Belgium,N\A,88,75,36,88,92,,61,89,CL,92,14,13,1,13,47,68,13,68,75,14,3,96
81,76,2018-09-19,33 years old,89,91,High,93,94,Real Madrid,90,92,78,High,70,,94,92,79,Right,Luka Modric,,83,"172cm | 5'8""",70,4,67,,LaLiga Santander,86,72,83,Croatia,N\A,76,90,79,67,76,,93,,Normal,76,86,79,4,55,80,68,55,68,90,72,4,66
82,68,2018-09-19,28 years old,76,83,Med,70,71,Real Madrid,90,86,84,Med,75,,71,86,79,Right,Toni Kroos,,82,"183cm | 6'0""",75,4,70,,LaLiga Santander,88,76,82,Germany,N\A,68,90,88,70,83,,70,,CL,83,88,79,3,54,69,30,54,30,90,76,5,76
83,75,2018-09-19,32 years old,84,72,High,78,66,Real Madrid,85,63,67,Med,91,,66,63,52,Right,Sergio Ramos García,,90,"184cm | 6'0""",91,4,84,,LaLiga Santander,66,60,90,Spain,N\A,75,71,79,84,63,,78,,Normal,63,66,52,3,91,76,93,91,93,71,60,3,82
84,69,2018-09-19,32 years old,66,65,Med,58,54,Atlético Madrid,86,52,51,High,90,,54,52,49,Right,Diego Godín,,88,"187cm | 6'2""",90,3,85,,LaLiga Santander,55,42,88,Uruguay,N\A,69,66,68,85,49,,58,,CL,49,55,49,2,93,69,92,93,92,66,42,3,78
85,87,2018-09-19,25 years old,41,90,Med,67,49,Atlético Madrid,86,70,14,Med,44,87,49,70,11,Right,Jan Oblak,93,19,"188cm | 6'2""",44,3,89,79,LaLiga Santander,13,11,19,Slovenia,N\A,87,79,22,89,93,,67,90,CL,93,13,11,1,15,44,76,15,76,79,11,3,87
86,80,2018-09-19,42 years old,84,88,Med,75,88,Icons,93,92,85,Med,68,,88,92,88,Right,Clarence Seedorf,,82,"176cm | 5'9""",68,,82,,Icons,88,82,82,Holland,N\A,80,90,91,82,87,,75,,Icon,87,88,88,4,61,78,74,61,74,90,82,4,78
87,81,2018-09-19,42 years old,88,83,Med,68,70,Icons,85,87,87,High,81,,70,87,85,Right,Michael Ballack,,82,"188cm | 6'2""",81,,86,,Icons,80,87,82,Germany,N\A,81,88,94,86,90,,68,,Icon,90,80,85,4,86,80,87,86,87,88,87,4,85
88,81,2018-09-19,41 years old,83,82,Med,69,57,Icons,92,69,57,Low,45,,57,69,95,Right,David Trezeguet,,37,"187cm | 6'2""",45,,80,,Icons,59,96,37,France,N\A,81,70,93,80,92,,69,,Icon,92,59,95,4,92,80,77,92,77,70,96,4,75
89,84,2018-09-19,64 years old,92,90,High,83,60,Icons,86,94,89,Med,45,,60,94,88,Right,Sócrates Vieira de Oliveira,,34,"192cm | 6'4""",45,,84,,Icons,89,87,34,Brazil,N\A,84,91,92,84,90,,83,,Icon,90,89,88,4,88,85,70,88,70,91,87,5,79
90,69,2018-09-19,58 years old,82,70,Med,72,75,Icons,91,71,45,High,94,,75,71,42,Right,Franco Baresi,,96,"176cm | 5'9""",94,,80,,Icons,63,44,96,Italy,N\A,69,74,53,80,48,,72,,Icon,48,63,42,2,89,60,80,89,80,74,44,3,71
91,88,2018-09-19,40 years old,81,82,High,78,73,Icons,93,74,72,Med,41,,73,74,92,Right,Miroslav Klose,,51,"184cm | 6'0""",41,,81,,Icons,76,93,51,Germany,N\A,88,76,87,81,88,,78,,Icon,88,76,92,3,94,92,93,94,93,76,93,4,74
