NAME,CLUB,LEAGUE,POSITION,TIER,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL,LOADDATE
Michael Ballack,Icons,Icons,CM,Gold,91,81,92,70,82,45,80,2019-11-25 22:25:41
David Trezeguet,Icons,Icons,ST,Gold,91,83,80,82,85,90,91,2019-11-25 22:25:41
Patrick Vieira,Icons,Icons,CM,Gold,91,88,92,72,87,34,75,2019-11-25 22:25:41
Andriy Shevchenko,Icons,Icons,ST,Gold,91,91,86,88,92,36,79,2019-11-25 22:25:41
Ronaldinho,Icons,Icons,CAM,Gold,91,85,88,90,90,60,81,2019-11-25 22:25:41
Pavel Nedvěd,Icons,Icons,LM,Gold,91,81,93,77,78,52,85,2019-11-25 22:25:41
Alan Shearer,Icons,Icons,ST,Gold,91,84,90,91,90,45,84,2019-11-25 22:25:41
Sócrates,Icons,Icons,CAM,Gold,91,80,87,90,88,68,82,2019-11-25 22:25:41
Clarence Seedorf,Icons,Icons,CAM,Gold,91,72,87,91,80,64,82,2019-11-25 22:25:41
Paul Scholes,Icons,Icons,CM,Gold,91,88,88,76,82,41,81,2019-11-25 22:25:41
Miroslav Klose,Icons,Icons,ST,Gold,91,69,48,74,70,94,80,2019-11-25 22:25:41
Franco Baresi,Icons,Icons,CB,Gold,91,86,92,72,86,45,81,2019-11-25 22:25:41
Ian Rush,Icons,Icons,ST,Gold,91,92,83,84,81,86,86,2019-11-25 22:25:41
Roberto Carlos,Icons,Icons,LB,Gold,91,85,79,90,92,38,64,2019-11-25 22:25:41
Michael Laudrup,Icons,Icons,CAM,Gold,91,75,88,89,80,90,86,2019-11-25 22:25:41
Ronald Koeman,Icons,Icons,CB,Gold,91,73,68,76,70,93,87,2019-11-25 22:25:41
Fernando Hierro,Icons,Icons,CB,Gold,91,91,86,88,92,44,73,2019-11-25 22:25:41
Kaká,Icons,Icons,CAM,Gold,91,90,92,77,82,47,90,2019-11-25 22:25:41
Didier Drogba,Icons,Icons,ST,Gold,91,76,86,92,87,61,78,2019-11-25 22:25:41
Zinedine Zidane,Icons,Icons,CM,Gold,91,91,83,86,94,35,66,2019-11-25 22:25:41
Kevin De Bruyne,Manchester City,England Premier League,CAM,Gold,91,90,89,79,92,46,84,2019-11-25 22:25:41
Eden Hazard,Real Madrid,Spain Primera Division,LW,Gold,91,66,57,77,76,90,81,2019-11-25 22:25:41
David Villa,Vissel Kobe,Japan J1 League,ST,Gold,90,80,67,79,82,88,84,2019-11-25 22:25:41
Thiago Silva,Paris Saint-Germain,France Ligue 1,CB,Gold,90,72,63,74,80,90,82,2019-11-25 22:25:41
N'Golo Kanté,Chelsea,England Premier League,CDM,Gold,90,97,86,80,91,40,76,2019-11-25 22:25:41
Piqué,FC Barcelona,Spain Primera Division,CB,Gold,90,82,88,86,90,58,73,2019-11-25 22:25:41
Kylian Mbappé,Paris Saint-Germain,France Ligue 1,LW,Gold,90,97,86,80,91,40,76,2019-11-25 22:25:41
Antoine Griezmann,FC Barcelona,Spain Primera Division,LW,Gold,90,75,82,92,83,72,80,2019-11-25 22:25:41
Kylian Mbappé,Paris Saint-Germain,France Ligue 1,LW,Gold,90,82,88,86,90,58,73,2019-11-25 22:25:41
Toni Kroos,Real Madrid,Spain Primera Division,CM,Gold,90,71,92,82,82,48,84,2019-11-25 22:25:41
Antoine Griezmann,FC Barcelona,Spain Primera Division,LW,Gold,90,78,89,75,87,42,83,2019-11-25 22:25:41
Harry Kane,Tottenham Hotspur,England Premier League,ST,Gold,90,71,92,82,82,48,84,2019-11-25 22:25:41
Robert Lewandowski,Bayern München,Germany 1. Bundesliga,ST,Gold,90,78,89,75,87,42,83,2019-11-25 22:25:41
Harry Kane,Tottenham Hotspur,England Premier League,ST,Gold,90,90,63,80,83,87,84,2019-11-25 22:25:41
Robert Lewandowski,Bayern München,Germany 1. Bundesliga,ST,Gold,90,77,60,70,72,90,86,2019-11-25 22:25:41
Carlos Alberto,Icons,Icons,RB,Gold,90,93,86,81,89,45,74,2019-11-25 22:25:41
Virgil van Dijk,Liverpool,England Premier League,CB,Gold,90,74,76,89,90,72,66,2019-11-25 22:25:41
Mohamed Salah,Liverpool,England Premier League,RW,Gold,90,82,88,86,90,58,73,2019-11-25 22:25:41
Luka Modrić,Real Madrid,Spain Primera Division,CM,Gold,90,78,89,77,86,42,83,2019-11-25 22:25:41
Antoine Griezmann,FC Barcelona,Spain Primera Division,CF,Gold,90,92,88,81,91,42,70,2019-11-25 22:25:41
Robert Lewandowski,Bayern München,Germany 1. Bundesliga,ST,Gold,90,94,90,77,91,42,72,2019-11-25 22:25:41
Emilio Butragueño,Icons,Icons,ST,Gold,90,72,45,66,58,93,91,2019-11-25 22:25:41
Ronaldo,Icons,Icons,ST,Gold,90,85,89,83,88,35,73,2019-11-25 22:25:41
Carles Puyol,Icons,Icons,CB,Gold,90,85,90,87,90,43,77,2019-11-25 22:25:41
Dennis Bergkamp,Icons,Icons,CAM,Gold,90,71,41,62,66,91,85,2019-11-25 22:25:41
Rivaldo,Icons,Icons,CF,Gold,90,88,88,88,87,80,87,2019-11-25 22:25:41
Alessandro Nesta,Icons,Icons,CB,Gold,90,90,90,87,90,48,84,2019-11-25 22:25:41
Ruud Gullit,Icons,Icons,CM,Gold,90,90,90,83,93,57,70,2019-11-25 22:25:41
Hristo Stoichkov,Icons,Icons,LW,Gold,90,90,86,88,91,40,78,2019-11-25 22:25:41
George Best,Icons,Icons,RW,Gold,90,72,71,85,81,87,89,2019-11-25 22:25:41
Luís Figo,Icons,Icons,RW,Gold,90,86,81,88,88,44,79,2019-11-25 22:25:41
Roy Keane,Icons,Icons,CM,Gold,90,77,76,83,80,90,87,2019-11-25 22:25:41
Rui Costa,Icons,Icons,CAM,Gold,90,77,79,82,78,87,89,2019-11-25 22:25:41
Frank Rijkaard,Icons,Icons,CDM,Gold,90,95,82,81,89,47,67,2019-11-25 22:25:41
Emmanuel Petit,Icons,Icons,CDM,Gold,90,87,83,84,94,40,60,2019-11-25 22:25:41
Marc Overmars,Icons,Icons,LM,Gold,90,82,89,84,84,36,64,2019-11-25 22:25:41
Jay-Jay Okocha,Icons,Icons,CAM,Gold,90,90,89,76,85,48,73,2019-11-25 22:25:41
Jari Litmanen,Icons,Icons,CAM,Gold,90,79,91,69,83,36,65,2019-11-25 22:25:41
Henrik Larsson,Icons,Icons,ST,Gold,90,92,88,74,89,48,70,2019-11-25 22:25:41
Filippo Inzaghi,Icons,Icons,ST,Gold,90,83,49,67,65,91,86,2019-11-25 22:25:41
Luis Hernández,Icons,Icons,ST,Gold,90,83,79,91,90,51,70,2019-11-25 22:25:41
Rio Ferdinand,Icons,Icons,CB,Gold,90,89,90,72,89,38,73,2019-11-25 22:25:41
Deco,Icons,Icons,CM,Gold,90,83,91,74,83,40,84,2019-11-25 22:25:41
Hernán Crespo,Icons,Icons,ST,Gold,90,82,88,72,82,38,80,2019-11-25 22:25:41
Christian Vieri,Icons,Icons,ST,Gold,90,90,88,85,87,51,77,2019-11-25 22:25:41
Ruud van Nistelrooy,Icons,Icons,ST,Gold,90,80,50,79,80,88,88,2019-11-25 22:25:41
Thierry Henry,Icons,Icons,LW,Gold,90,76,85,90,85,77,85,2019-11-25 22:25:41
Alessandro Del Piero,Icons,Icons,CF,Gold,90,74,90,88,84,73,81,2019-11-25 22:25:41
Claude Makélélé,Icons,Icons,CDM,Gold,90,90,83,88,93,41,67,2019-11-25 22:25:41
Juan Sebastián Verón,Icons,Icons,CM,Gold,90,78,65,88,81,88,83,2019-11-25 22:25:41
Frank Lampard,Icons,Icons,CM,Gold,90,85,76,81,82,90,90,2019-11-25 22:25:41
Garrincha,Icons,Icons,RW,Gold,90,86,91,88,91,43,63,2019-11-25 22:25:41
Guardiola,Icons,Icons,CDM,Gold,90,87,90,79,89,42,71,2019-11-25 22:25:41
Michaël Essien,Icons,Icons,CDM,Gold,90,75,79,93,90,68,65,2019-11-25 22:25:41
Gianfranco Zola,Icons,Icons,CF,Gold,90,77,60,70,72,90,86,2019-11-25 22:25:41
Kenny Dalglish,Icons,Icons,CF,Gold,90,74,76,89,90,72,66,2019-11-25 22:25:41
Andrea Pirlo,Icons,Icons,CM,Gold,90,93,86,81,89,45,74,2019-11-25 22:25:41
Virgil van Dijk,Liverpool,England Premier League,CB,Gold,90,46,83,91,82,71,70,2019-11-25 22:25:41
Luka Modrić,Real Madrid,Spain Primera Division,CM,Gold,90,46,83,91,82,71,70,2019-11-25 22:25:41
Mohamed Salah,Liverpool,England Premier League,RW,Gold,90,85,84,85,91,44,66,2019-11-25 22:25:41
Toni Kroos,Real Madrid,Spain Primera Division,CM,Gold,89,95,84,80,89,45,76,2019-11-25 22:25:41
Toni Kroos,Real Madrid,Spain Primera Division,CM,Gold,89,91,87,87,93,37,70,2019-11-25 22:25:41
Paulo Dybala,Piemonte Calcio,Italy Serie A,CAM,Gold,89,84,84,85,91,45,65,2019-11-25 22:25:41
Sadio Mané,Liverpool,England Premier League,LW,Gold,89,95,87,78,81,38,70,2019-11-25 22:25:41
Lorenzo Insigne,Napoli,Italy Serie A,CF,Gold,89,84,84,85,91,45,65,2019-11-25 22:25:41
Paulo Dybala,Piemonte Calcio,Italy Serie A,ST,Gold,89,73,89,80,84,51,84,2019-11-25 22:25:41
Pierre-Emerick Aubame...,Arsenal,England Premier League,ST,Gold,89,42,62,80,81,85,80,2019-11-25 22:25:41
Paulo Dybala,Piemonte Calcio,Italy Serie A,ST,Gold,89,81,86,84,89,57,72,2019-11-25 22:25:41
Luis Suárez,FC Barcelona,Spain Primera Division,ST,Gold,89,77,87,74,85,41,82,2019-11-25 22:25:41
Sergio Busquets,FC Barcelona,Spain Primera Division,CDM,Gold,89,78,65,77,81,87,83,2019-11-25 22:25:41
Antoine Griezmann,FC Barcelona,Spain Primera Division,CF,Gold,89,68,46,58,62,90,82,2019-11-25 22:25:41
Robert Lewandowski,Bayern München,Germany 1. Bundesliga,ST,Gold,89,80,90,77,88,33,74,2019-11-25 22:25:41
N'Golo Kanté,Chelsea,England Premier League,CDM,Gold,89,71,28,54,68,89,87,2019-11-25 22:25:41
Giorgio Chiellini,Piemonte Calcio,Italy Serie A,CB,Gold,89,96,84,78,90,39,75,2019-11-25 22:25:41
Sergio Agüero,Manchester City,England Premier League,ST,Gold,89,72,68,75,74,87,85,2019-11-25 22:25:41
Kalidou Koulibaly,Napoli,Italy Serie A,CB,Gold,89,70,91,79,81,47,83,2019-11-25 22:25:41
Kylian Mbappé,Paris Saint-Germain,France Ligue 1,ST,Gold,89,82,90,68,80,43,76,2019-11-25 22:25:41
Sergio Ramos,Real Madrid,Spain Primera Division,CB,Gold,89,88,86,88,88,52,80,2019-11-25 22:25:41
Harry Kane,Tottenham Hotspur,England Premier League,ST,Gold,89,80,85,88,90,38,77,2019-11-25 22:25:41
David Trezeguet,Icons,Icons,ST,Gold,89,92,87,85,92,40,70,2019-11-25 22:25:41
Pavel Nedvěd,Icons,Icons,LM,Gold,89,76,44,62,67,92,82,2019-11-25 22:25:41
Ronaldinho,Icons,Icons,CAM,Gold,89,82,83,90,90,41,61,2019-11-25 22:25:41
Johan Cruyff,Icons,Icons,CF,Gold,89,71,86,89,81,64,80,2019-11-25 22:25:41
Fabio Cannavaro,Icons,Icons,CB,Gold,89,84,80,90,88,47,64,2019-11-25 22:25:41
Roberto Baggio,Icons,Icons,CF,Gold,89,78,87,88,82,78,88,2019-11-25 22:25:41
Paul Scholes,Icons,Icons,CM,Gold,89,73,65,72,73,91,89,2019-11-25 22:25:41
Ryan Giggs,Icons,Icons,LM,Gold,89,82,88,88,88,46,83,2019-11-25 22:25:41
Michael Ballack,Icons,Icons,CM,Gold,89,80,86,88,84,75,80,2019-11-25 22:25:41
Gennaro Gattuso,Icons,Icons,CDM,Gold,89,85,87,89,89,40,65,2019-11-25 22:25:41
Sócrates,Icons,Icons,CAM,Gold,89,79,68,70,79,90,85,2019-11-25 22:25:41
Steven Gerrard,Icons,Icons,CM,Gold,89,66,60,81,75,91,83,2019-11-25 22:25:41
Gheorghe Hagi,Icons,Icons,CAM,Gold,89,95,91,82,90,43,78,2019-11-25 22:25:41
Laurent Blanc,Icons,Icons,CB,Gold,89,83,91,72,86,35,76,2019-11-25 22:25:41
Bobby Moore,Icons,Icons,CB,Gold,89,89,90,70,84,38,74,2019-11-25 22:25:41
Eusébio,Icons,Icons,CF,Gold,89,83,87,75,81,42,78,2019-11-25 22:25:41
Sol Campbell,Icons,Icons,CB,Gold,89,84,90,75,78,48,84,2019-11-25 22:25:41
Marco van Basten,Icons,Icons,ST,Gold,89,95,85,79,89,45,75,2019-11-25 22:25:41
Gary Lineker,Icons,Icons,ST,Gold,89,90,72,84,85,88,86,2019-11-25 22:25:41
Miroslav Klose,Icons,Icons,ST,Gold,89,89,90,70,82,41,77,2019-11-25 22:25:41
Alan Shearer,Icons,Icons,ST,Gold,89,90,87,85,91,45,85,2019-11-25 22:25:41
Sadio Mané,Liverpool,England Premier League,ST,Gold,89,83,90,72,85,44,80,2019-11-25 22:25:41
Gianluca Zambrotta,Icons,Icons,RB,Gold,89,85,90,75,80,46,88,2019-11-25 22:25:41
Ian Wright,Icons,Icons,ST,Gold,89,90,88,78,88,41,70,2019-11-25 22:25:41
John Barnes,Icons,Icons,LW,Gold,89,85,82,87,90,43,70,2019-11-25 22:25:41
Ian Rush,Icons,Icons,ST,Gold,89,71,66,75,70,90,84,2019-11-25 22:25:41
Didier Drogba,Icons,Icons,ST,Gold,89,82,77,89,90,36,62,2019-11-25 22:25:41
Hugo Sánchez,Icons,Icons,ST,Gold,89,78,65,77,81,87,83,2019-11-25 22:25:41
Kaká,Icons,Icons,CAM,Gold,89,81,86,84,89,57,72,2019-11-25 22:25:41
Fernando Hierro,Icons,Icons,CB,Gold,89,80,90,77,88,33,74,2019-11-25 22:25:41
Michael Laudrup,Icons,Icons,LW,Gold,89,73,89,80,84,51,84,2019-11-25 22:25:41
N'Golo Kanté,Chelsea,England Premier League,CDM,Gold,89,96,84,78,90,39,75,2019-11-25 22:25:41
Antoine Griezmann,FC Barcelona,Spain Primera Division,CF,Gold,89,68,46,58,62,90,82,2019-11-25 22:25:41
Sergio Agüero,Manchester City,England Premier League,ST,Gold,89,77,87,74,85,41,82,2019-11-25 22:25:41
Luis Suárez,FC Barcelona,Spain Primera Division,ST,Gold,89,42,62,80,81,85,80,2019-11-25 22:25:41
Kylian Mbappé,Paris Saint-Germain,France Ligue 1,ST,Gold,89,72,68,75,74,87,85,2019-11-25 22:25:41
Giorgio Chiellini,Piemonte Calcio,Italy Serie A,CB,Gold,89,70,91,79,81,47,83,2019-11-25 22:25:41
Robert Lewandowski,Bayern München,Germany 1. Bundesliga,ST,Gold,89,71,28,54,68,89,87,2019-11-25 22:25:41
Sergio Busquets,FC Barcelona,Spain Primera Division,CDM,Gold,89,77,85,82,84,82,89,2019-11-25 22:25:41
Sergio Ramos,Real Madrid,Spain Primera Division,CB,Gold,89,91,70,82,84,81,75,2019-11-25 22:25:41
Harry Kane,Tottenham Hotspur,England Premier League,ST,Gold,89,89,87,82,88,43,71,2019-11-25 22:25:41
Kalidou Koulibaly,Napoli,Italy Serie A,CB,Gold,89,52,59,78,75,90,77,2019-11-25 22:25:41
Paulinho,Guangzhou Evergrande Taobao,China Super League,CM,Gold,88,80,84,82,89,80,85,2019-11-25 22:25:41
Jordi Alba,FC Barcelona,Spain Primera Division,LB,Gold,88,52,59,78,75,90,77,2019-11-25 22:25:41
Heung Min Son,Tottenham Hotspur,England Premier League,CF,Gold,88,85,90,80,88,36,80,2019-11-25 22:25:41
Mats Hummels,Borussia Dortmund,Germany 1. Bundesliga,CB,Gold,88,85,85,81,88,57,73,2019-11-25 22:25:41
Roberto Firmino,Liverpool,England Premier League,CF,Gold,88,80,88,88,88,52,81,2019-11-25 22:25:41
Mats Hummels,Borussia Dortmund,Germany 1. Bundesliga,CB,Gold,88,71,84,90,85,82,86,2019-11-25 22:25:41
Zlatan Ibrahimović,Los Angeles Galaxy,USA Major League Soccer,ST,Gold,88,56,61,72,69,88,80,2019-11-25 22:25:41
Thomas Müller,Bayern München,Germany 1. Bundesliga,CAM,Gold,88,85,88,84,87,45,66,2019-11-25 22:25:41
James Rodríguez,Real Madrid,Spain Primera Division,CAM,Gold,88,60,48,64,63,89,83,2019-11-25 22:25:41
Bastian Schweinsteiger,Chicago Fire,USA Major League Soccer,CM,Gold,88,83,82,84,90,43,64,2019-11-25 22:25:41
Piqué,FC Barcelona,Spain Primera Division,CB,Gold,88,94,83,77,88,44,74,2019-11-25 22:25:41
Marco Reus,Borussia Dortmund,Germany 1. Bundesliga,CAM,Gold,88,65,74,88,89,52,57,2019-11-25 22:25:41
Diego Godín,Inter,Italy Serie A,CB,Gold,88,93,79,78,89,45,57,2019-11-25 22:25:41
Paulo Dybala,Piemonte Calcio,Italy Serie A,CAM,Gold,88,75,86,72,79,55,83,2019-11-25 22:25:41
Sadio Mané,Liverpool,England Premier League,LW,Gold,88,45,80,90,81,70,69,2019-11-25 22:25:41
David Silva,Manchester City,England Premier League,CAM,Gold,88,73,81,90,84,53,63,2019-11-25 22:25:41
Raheem Sterling,Manchester City,England Premier League,RW,Gold,88,63,55,74,74,89,79,2019-11-25 22:25:41
Edinson Cavani,Paris Saint-Germain,France Ligue 1,ST,Gold,88,83,61,85,82,87,80,2019-11-25 22:25:41
Toni Kroos,Real Madrid,Spain Primera Division,CM,Gold,88,84,89,73,85,35,75,2019-11-25 22:25:41
Christian Eriksen,Tottenham Hotspur,England Premier League,CAM,Gold,88,66,88,87,83,70,76,2019-11-25 22:25:41
Thiago Silva,Paris Saint-Germain,France Ligue 1,CB,Gold,88,70,40,63,65,90,85,2019-11-25 22:25:41
Javier Zanetti,Icons,Icons,RB,Gold,88,82,82,87,77,90,80,2019-11-25 22:25:41
Patrick Vieira,Icons,Icons,CM,Gold,88,87,54,73,65,90,78,2019-11-25 22:25:41
Andriy Shevchenko,Icons,Icons,ST,Gold,88,91,88,81,92,59,70,2019-11-25 22:25:41
Frank Lampard,Icons,Icons,CM,Gold,88,88,84,87,88,42,77,2019-11-25 22:25:41
Alessandro Nesta,Icons,Icons,CB,Gold,88,74,72,84,78,85,88,2019-11-25 22:25:41
Lothar Matthäus,Icons,Icons,CB,Gold,88,82,80,87,86,47,76,2019-11-25 22:25:41
Paolo Maldini,Icons,Icons,LB,Gold,88,78,73,79,78,88,85,2019-11-25 22:25:41
George Best,Icons,Icons,RW,Gold,88,88,80,86,86,40,62,2019-11-25 22:25:41
Luís Figo,Icons,Icons,CAM,Gold,88,75,77,81,77,86,88,2019-11-25 22:25:41
Roy Keane,Icons,Icons,CM,Gold,88,91,86,66,87,31,62,2019-11-25 22:25:41
Rui Costa,Icons,Icons,CAM,Gold,88,95,81,80,88,44,64,2019-11-25 22:25:41
Frank Rijkaard,Icons,Icons,CB,Gold,88,83,89,81,83,33,64,2019-11-25 22:25:41
Robert Pirès,Icons,Icons,LM,Gold,88,86,84,79,82,39,81,2019-11-25 22:25:41
Emmanuel Petit,Icons,Icons,CDM,Gold,88,80,48,65,64,89,82,2019-11-25 22:25:41
Michael Owen,Icons,Icons,ST,Gold,88,83,54,69,67,88,88,2019-11-25 22:25:41
Marc Overmars,Icons,Icons,LW,Gold,88,82,88,70,80,41,84,2019-11-25 22:25:41
Jari Litmanen,Icons,Icons,CAM,Gold,88,85,84,86,87,62,65,2019-11-25 22:25:41
Patrick Kluivert,Icons,Icons,ST,Gold,88,71,47,70,72,89,82,2019-11-25 22:25:41
