NAME,CLUB,LEAGUE,POSITION,TIER,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL,LOADDATE
Luis Suárez,FC Barcelona,Liga BBVA,ST,Gold,91,77,93,82,88,36,88,2018-09-19 11:18:34
Zlatan Ibrahimović,PSG,Ligue 1,ST,Gold,91,94,89,85,93,34,65,2018-09-19 11:18:34
Arjen Robben,FC Bayern,Bundesliga,RW,Gold,91,81,63,77,76,94,87,2018-09-19 11:18:34
Thiago Silva,PSG,Ligue 1,CB,Gold,90,80,90,89,87,89,95,2018-09-19 11:18:34
Yaya Touré,Manchester City,Barclays PL,CM,Gold,90,80,97,88,89,50,93,2018-09-19 11:18:34
Wayne Rooney,Manchester Utd,Barclays PL,ST,Gold,90,83,96,78,90,47,92,2018-09-19 11:18:34
Edinson Cavani,PSG,Ligue 1,ST,Gold,90,97,90,89,90,67,87,2018-09-19 11:18:34
Gareth Bale,Real Madrid,Liga BBVA,RM,Gold,90,92,95,84,95,35,75,2018-09-19 11:18:34
Sergio Agüero,Manchester City,Barclays PL,ST,Gold,90,90,98,90,91,55,96,2018-09-19 11:18:34
Hulk,Zenit,Russian League,RW,Gold,90,85,80,87,85,93,91,2018-09-19 11:18:34
Blaise Matuidi,PSG,Ligue 1,CM,Gold,90,97,96,85,95,50,90,2018-09-19 11:18:34
Alexandre Lacazette,Olympique Lyon,Ligue 1,ST,Gold,90,83,55,62,65,95,96,2018-09-19 11:18:34
Giorgio Chiellini,Juventus,Serie A,CB,Gold,90,72,60,80,67,95,85,2018-09-19 11:18:34
Piqué,FC Barcelona,Liga BBVA,CB,Gold,90,81,88,95,95,42,70,2018-09-19 11:18:34
Santi Cazorla,Arsenal,Barclays PL,CM,Gold,90,50,57,66,62,97,94,2018-09-19 11:18:34
John Terry,Chelsea,Barclays PL,CB,Gold,90,74,85,96,87,70,70,2018-09-19 11:18:34
Cesc Fàbregas,Chelsea,Barclays PL,CM,Gold,90,91,86,89,94,37,70,2018-09-19 11:18:34
Eden Hazard,Chelsea,Barclays PL,LM,Gold,90,94,88,80,96,38,67,2018-09-19 11:18:34
Neymar,FC Barcelona,Liga BBVA,LW,Gold,90,79,85,92,94,38,61,2018-09-19 11:18:34
David Silva,Manchester City,Barclays PL,LM,Gold,90,84,90,80,90,43,81,2018-09-19 11:18:34
Luis Suárez,FC Barcelona,Liga BBVA,ST,Gold,90,93,86,83,92,32,64,2018-09-19 11:18:34
Arjen Robben,FC Bayern,Bundesliga,RM,Gold,90,76,91,81,86,34,86,2018-09-19 11:18:34
Zlatan Ibrahimović,PSG,Ligue 1,ST,Gold,90,84,93,91,87,52,80,2018-09-19 11:18:34
Thomas Müller,FC Bayern,Bundesliga,RM,Gold,89,81,94,87,92,55,88,2018-09-19 11:18:34
Clint Dempsey,Sounders FC,MLS,ST,Gold,89,92,94,87,96,50,78,2018-09-19 11:18:34
Alexis Sánchez,Arsenal,Barclays PL,ST,Gold,89,60,60,84,80,90,88,2018-09-19 11:18:34
Jérémy Toulalan,AS Monaco,Ligue 1,CDM,Gold,89,83,91,80,90,43,84,2018-09-19 11:18:34
Robert Lewandowski,FC Bayern,Bundesliga,ST,Gold,89,92,76,91,89,87,75,2018-09-19 11:18:34
Dani Alves,FC Barcelona,Liga BBVA,RB,Gold,89,80,61,76,75,93,86,2018-09-19 11:18:34
Thiago Silva,PSG,Ligue 1,CB,Gold,89,91,92,81,93,32,72,2018-09-19 11:18:34
Sergio Agüero,Manchester City,Barclays PL,ST,Gold,89,85,93,74,87,35,82,2018-09-19 11:18:34
Gonzalo Higuaín,Napoli,Serie A,ST,Gold,89,90,84,87,93,35,67,2018-09-19 11:18:34
Eden Hazard,Chelsea,Barclays PL,LM,Gold,89,90,81,88,94,34,64,2018-09-19 11:18:34
Franck Ribéry,FC Bayern,Bundesliga,LM,Gold,89,93,87,78,95,35,63,2018-09-19 11:18:34
Neymar,FC Barcelona,Liga BBVA,LW,Gold,89,84,74,78,78,90,87,2018-09-19 11:18:34
David Luiz,PSG,Ligue 1,CB,Gold,89,78,82,91,93,36,59,2018-09-19 11:18:34
David Silva,Manchester City,Barclays PL,CAM,Gold,89,75,72,89,91,59,63,2018-09-19 11:18:34
Iniesta,FC Barcelona,Liga BBVA,CM,Gold,89,83,87,79,88,42,79,2018-09-19 11:18:34
Luis Suárez,FC Barcelona,Liga BBVA,ST,Gold,89,84,93,95,92,54,80,2018-09-19 11:18:34
Kevin De Bruyne,Manchester City,Barclays PL,RM,Gold,88,82,84,88,94,42,68,2018-09-19 11:18:34
Mario Götze,FC Bayern,Bundesliga,CAM,Gold,88,82,88,89,89,45,76,2018-09-19 11:18:34
James Rodríguez,Real Madrid,Liga BBVA,RM,Gold,88,74,90,82,83,33,68,2018-09-19 11:18:34
Steven Gerrard,LA Galaxy,MLS,CAM,Gold,88,61,81,85,82,78,80,2018-09-19 11:18:34
Robin van Persie,Fenerbahçe SK,Süper Lig,ST,Gold,88,86,87,92,90,51,60,2018-09-19 11:18:34
Bastian Schweinsteiger,Manchester Utd,Barclays PL,CM,Gold,88,93,90,88,89,35,68,2018-09-19 11:18:34
Christian Eriksen,Spurs,Barclays PL,CAM,Gold,88,82,86,87,88,88,90,2018-09-19 11:18:34
Marco Reus,Bor. Dortmund,Bundesliga,LM,Gold,88,77,86,64,81,40,73,2018-09-19 11:18:34
Arturo Vidal,Juventus,Serie A,CM,Gold,88,92,86,90,92,61,76,2018-09-19 11:18:34
Falcao,Chelsea,Barclays PL,ST,Gold,88,78,67,72,73,95,92,2018-09-19 11:18:34
Ángel Di María,Manchester Utd,Barclays PL,LW,Gold,88,73,89,97,90,70,80,2018-09-19 11:18:34
Nicolás Otamendi,Valencia CF,Liga BBVA,CB,Gold,88,80,67,74,65,94,89,2018-09-19 11:18:34
Ivan Rakitić,FC Barcelona,Liga BBVA,CM,Gold,88,81,93,75,86,45,89,2018-09-19 11:18:34
Naldo,VfL Wolfsburg,Bundesliga,CB,Gold,88,77,80,93,92,35,65,2018-09-19 11:18:34
Edinson Cavani,PSG,Ligue 1,LW,Gold,88,56,61,73,69,92,85,2018-09-19 11:18:34
Mesut Özil,Arsenal,Barclays PL,CAM,Gold,88,84,81,85,88,80,84,2018-09-19 11:18:34
Ezequiel Garay,Zenit,Russian League,CB,Gold,88,72,75,83,80,88,92,2018-09-19 11:18:34
Claudio Marchisio,Juventus,Serie A,CM,Gold,88,78,88,85,84,84,93,2018-09-19 11:18:34
Nemanja Matić,Chelsea,Barclays PL,CDM,Gold,88,91,91,84,94,47,75,2018-09-19 11:18:34
Yaya Touré,Manchester City,Barclays PL,CM,Gold,88,82,87,76,88,41,81,2018-09-19 11:18:34
Alexis Sánchez,Arsenal,Barclays PL,LW,Gold,88,81,56,73,74,90,87,2018-09-19 11:18:34
Robert Lewandowski,FC Bayern,Bundesliga,ST,Gold,88,95,86,86,87,65,83,2018-09-19 11:18:34
Jérôme Boateng,FC Bayern,Bundesliga,CB,Gold,88,89,92,83,91,55,89,2018-09-19 11:18:34
Gareth Bale,Real Madrid,Liga BBVA,CF,Gold,88,84,92,71,85,33,79,2018-09-19 11:18:34
Carlos Tévez,Juventus,Serie A,ST,Gold,88,79,59,74,73,92,84,2018-09-19 11:18:34
Gonzalo Higuaín,Napoli,Serie A,ST,Gold,88,68,62,80,76,93,85,2018-09-19 11:18:34
Thiago Silva,PSG,Ligue 1,CB,Gold,88,78,93,85,87,47,90,2018-09-19 11:18:34
Mats Hummels,Bor. Dortmund,Bundesliga,CB,Gold,88,83,91,89,84,50,77,2018-09-19 11:18:34
Wayne Rooney,Manchester Utd,Barclays PL,ST,Gold,88,85,90,69,84,44,90,2018-09-19 11:18:34
Thomas Müller,FC Bayern,Bundesliga,ST,Gold,88,90,91,79,91,30,69,2018-09-19 11:18:34
Diego Costa,Chelsea,Barclays PL,ST,Gold,88,92,84,75,94,32,60,2018-09-19 11:18:34
Sergio Agüero,Manchester City,Barclays PL,ST,Gold,88,80,61,72,67,91,85,2018-09-19 11:18:34
Neymar,FC Barcelona,Liga BBVA,LW,Gold,88,77,61,87,84,89,69,2018-09-19 11:18:34
Sergio Ramos,Real Madrid,Liga BBVA,CB,Gold,88,77,79,89,91,35,58,2018-09-19 11:18:34
Philipp Lahm,FC Bayern,Bundesliga,CM,Gold,88,77,86,64,81,40,73,2018-09-19 11:18:34
David Silva,Manchester City,Barclays PL,CAM,Gold,88,61,81,85,82,78,80,2018-09-19 11:18:34
Falcao,Manchester Utd,Barclays PL,ST,Gold,88,89,78,85,92,29,62,2018-09-19 11:18:34
Bastian Schweinsteiger,FC Bayern,Bundesliga,CM,Gold,88,89,82,84,91,32,64,2018-09-19 11:18:34
Franck Ribéry,FC Bayern,Bundesliga,LM,Gold,88,74,90,82,83,33,68,2018-09-19 11:18:34
Eden Hazard,Chelsea,Barclays PL,LM,Gold,88,70,52,70,65,95,89,2018-09-19 11:18:34
Robin van Persie,Manchester Utd,Barclays PL,ST,Gold,88,78,90,93,89,55,72,2018-09-19 11:18:34
Diego Godín,Atlético Madrid,Liga BBVA,CB,Gold,87,80,95,83,90,40,75,2018-09-19 11:18:34
Wesley Sneijder,Galatasaray SK,Süper Lig,CAM,Gold,87,85,89,92,92,70,85,2018-09-19 11:18:34
David Villa,NY City FC,MLS,ST,Gold,87,77,88,90,91,55,75,2018-09-19 11:18:34
Roman Eremenko,CSKA Moskva,Russian League,CAM,Gold,87,86,90,92,91,55,78,2018-09-19 11:18:34
Javier Pastore,PSG,Ligue 1,CM,Gold,87,89,85,86,88,85,88,2018-09-19 11:18:34
Dimitri Payet,Marseille,Ligue 1,CAM,Gold,87,70,84,94,88,65,78,2018-09-19 11:18:34
Radja Nainggolan,Roma,Serie A,CM,Gold,87,82,80,90,86,82,80,2018-09-19 11:18:34
Parejo,Valencia CF,Liga BBVA,CM,Gold,87,84,70,85,86,89,85,2018-09-19 11:18:34
Gonzalo Castro,Bayer 04,Bundesliga,CDM,Gold,87,86,72,83,89,84,85,2018-09-19 11:18:34
Ricardo Rodriguez,VfL Wolfsburg,Bundesliga,LB,Gold,87,76,60,87,91,80,74,2018-09-19 11:18:34
Kevin De Bruyne,VfL Wolfsburg,Bundesliga,CAM,Gold,87,86,87,70,84,48,89,2018-09-19 11:18:34
Marcelo,Real Madrid,Liga BBVA,LB,Gold,87,80,90,72,82,43,85,2018-09-19 11:18:34
Marco Verratti,PSG,Ligue 1,CM,Gold,87,81,81,85,85,86,87,2018-09-19 11:18:34
Jackson Martínez,FC Porto,Primeira Liga,ST,Gold,87,80,55,71,72,87,84,2018-09-19 11:18:34
Edinson Cavani,PSG,Ligue 1,ST,Gold,87,81,80,85,91,40,65,2018-09-19 11:18:34
Arturo Vidal,Juventus,Serie A,CM,Gold,87,90,90,82,92,45,72,2018-09-19 11:18:34
Jérôme Boateng,FC Bayern,Bundesliga,CB,Gold,87,84,87,65,82,41,89,2018-09-19 11:18:34
Mario Götze,FC Bayern,Bundesliga,CAM,Gold,87,89,87,78,89,29,68,2018-09-19 11:18:34
Alexis Sánchez,Arsenal,Barclays PL,LW,Gold,87,90,82,73,93,30,59,2018-09-19 11:18:34
Diego Costa,Chelsea,Barclays PL,ST,Gold,87,77,85,83,81,82,91,2018-09-19 11:18:34
Sergio Agüero,Manchester City,Barclays PL,ST,Gold,87,86,89,78,86,36,79,2018-09-19 11:18:34
Neymar,FC Barcelona,Liga BBVA,LW,Gold,87,76,77,89,89,30,60,2018-09-19 11:18:34
Yaya Touré,Manchester City,Barclays PL,CM,Gold,87,77,91,83,85,45,88,2018-09-19 11:18:34
Karim Benzema,Real Madrid,Liga BBVA,ST,Gold,87,83,91,70,84,32,76,2018-09-19 11:18:34
Mesut Özil,Arsenal,Barclays PL,LW,Gold,87,67,60,77,73,91,82,2018-09-19 11:18:34
Wayne Rooney,Manchester Utd,Barclays PL,CM,Gold,87,82,88,84,82,48,75,2018-09-19 11:18:34
Gonzalo Higuaín,Napoli,Serie A,ST,Gold,87,88,90,81,90,52,88,2018-09-19 11:18:34
Mats Hummels,Bor. Dortmund,Bundesliga,CB,Gold,87,81,84,86,87,43,73,2018-09-19 11:18:34
Thomas Müller,FC Bayern,Bundesliga,ST,Gold,87,91,81,86,89,59,73,2018-09-19 11:18:34
Carlos Tévez,Juventus,Serie A,CF,Gold,87,76,56,84,83,87,67,2018-09-19 11:18:34
James Rodríguez,Real Madrid,Liga BBVA,RM,Gold,87,94,83,83,84,63,81,2018-09-19 11:18:34
Ángel Di María,Manchester Utd,Barclays PL,CM,Gold,87,79,60,71,66,87,82,2018-09-19 11:18:34
Philipp Lahm,FC Bayern,Bundesliga,CDM,Gold,87,78,57,72,72,90,80,2018-09-19 11:18:34
Gareth Bale,Real Madrid,Liga BBVA,RM,Gold,87,76,77,86,89,33,57,2018-09-19 11:18:34
Sergio Ramos,Real Madrid,Liga BBVA,CB,Gold,87,76,74,85,89,71,70,2018-09-19 11:18:34
Thiago Silva,PSG,Ligue 1,CB,Gold,87,81,84,74,85,39,78,2018-09-19 11:18:34
David Silva,Manchester City,Barclays PL,LM,Gold,87,87,85,87,93,42,67,2018-09-19 11:18:34
Luka Modrić,Real Madrid,Liga BBVA,CM,Gold,87,81,74,85,83,90,88,2018-09-19 11:18:34
Robert Lewandowski,FC Bayern,Bundesliga,ST,Gold,87,90,79,83,87,57,71,2018-09-19 11:18:34
Pedro,Chelsea,Barclays PL,RM,Gold,86,85,96,86,89,52,94,2018-09-19 11:18:34
Blaise Matuidi,PSG,Ligue 1,CM,Gold,86,77,93,86,91,40,80,2018-09-19 11:18:34
Ángel Di María,PSG,Ligue 1,CAM,Gold,86,80,82,87,85,38,65,2018-09-19 11:18:34
Hulk,Zenit,Russian League,ST,Gold,86,75,95,90,89,45,80,2018-09-19 11:18:34
Robbie Keane,LA Galaxy,MLS,ST,Gold,86,82,90,85,91,40,75,2018-09-19 11:18:34
Kaká,Orlando City,MLS,CAM,Gold,86,98,88,84,92,40,84,2018-09-19 11:18:34
Jonatan Soriano,RB Salzburg,A. Bundesliga,ST,Gold,86,87,50,75,77,90,87,2018-09-19 11:18:34
Jonas,SL Benfica,Primeira Liga,ST,Gold,86,77,70,77,75,92,86,2018-09-19 11:18:34
Memphis Depay,PSV,Eredivisie,LW,Gold,86,60,40,60,55,94,91,2018-09-19 11:18:34
Nicolas Nkoulou,Marseille,Ligue 1,CB,Gold,86,77,60,77,75,93,90,2018-09-19 11:18:34
Loïc Perrin,Saint-Etienne,Ligue 1,CB,Gold,86,99,90,85,88,50,80,2018-09-19 11:18:34
Kamil Glik,Torino,Serie A,CB,Gold,86,86,61,80,77,88,83,2018-09-19 11:18:34
Leonardo Bonucci,Juventus,Serie A,CB,Gold,86,83,92,80,86,48,85,2018-09-19 11:18:34
Pierre-Emerick Aubame...,Bor. Dortmund,Bundesliga,ST,Gold,86,72,86,94,87,65,75,2018-09-19 11:18:34
Azpilicueta,Chelsea,Barclays PL,LB,Gold,86,44,54,64,58,91,88,2018-09-19 11:18:34
Harry Kane,Spurs,Barclays PL,ST,Gold,86,75,80,86,89,32,62,2018-09-19 11:18:34
Ivan Rakitić,FC Barcelona,Liga BBVA,CM,Gold,86,89,91,80,89,35,74,2018-09-19 11:18:34
John Terry,Chelsea,Barclays PL,CB,Gold,86,79,83,90,91,39,67,2018-09-19 11:18:34
Juan Mata,Manchester Utd,Barclays PL,RM,Gold,86,79,85,84,89,78,91,2018-09-19 11:18:34
Kevin De Bruyne,VfL Wolfsburg,Bundesliga,CAM,Gold,86,84,82,88,87,49,58,2018-09-19 11:18:34
Antoine Griezmann,Atlético Madrid,Liga BBVA,ST,Gold,86,89,87,79,91,42,70,2018-09-19 11:18:34
Isco,Real Madrid,Liga BBVA,CM,Gold,86,83,85,64,80,40,88,2018-09-19 11:18:34
Paul Pogba,Juventus,Serie A,CM,Gold,86,79,50,68,70,84,82,2018-09-19 11:18:34
Christian Eriksen,Spurs,Barclays PL,LW,Gold,86,80,76,83,90,36,63,2018-09-19 11:18:34
Alexis Sánchez,Arsenal,Barclays PL,CAM,Gold,86,57,61,81,76,84,82,2018-09-19 11:18:34
Diego Costa,Chelsea,Barclays PL,ST,Gold,86,77,87,90,87,53,68,2018-09-19 11:18:34
Jérôme Boateng,FC Bayern,Bundesliga,CB,Gold,86,76,83,90,91,38,65,2018-09-19 11:18:34
Mario Götze,FC Bayern,Bundesliga,CAM,Gold,86,69,50,66,63,92,86,2018-09-19 11:18:34
Sergio Busquets,FC Barcelona,Liga BBVA,CDM,Gold,86,80,79,83,83,84,85,2018-09-19 11:18:34
Wesley Sneijder,Galatasaray SK,Süper Lig,CAM,Gold,86,59,83,92,86,59,70,2018-09-19 11:18:34
Santi Cazorla,Arsenal,Barclays PL,CM,Gold,86,85,87,77,84,32,77,2018-09-19 11:18:34
Diego Godín,Atlético Madrid,Liga BBVA,CB,Gold,86,87,88,79,89,49,86,2018-09-19 11:18:34
Arturo Vidal,Juventus,Serie A,CM,Gold,86,73,56,69,67,87,81,2018-09-19 11:18:34
Toni Kroos,Real Madrid,Liga BBVA,CM,Gold,86,66,72,91,85,60,58,2018-09-19 11:18:34
Karim Benzema,Real Madrid,Liga BBVA,ST,Gold,86,76,82,81,79,80,90,2018-09-19 11:18:34
Carlos Tévez,Juventus,Serie A,ST,Gold,86,76,87,82,83,44,87,2018-09-19 11:18:34
Vincent Kompany,Manchester City,Barclays PL,CB,Gold,86,88,86,77,88,28,66,2018-09-19 11:18:34
Xavi,FC Barcelona,Liga BBVA,CM,Gold,86,90,79,83,87,57,71,2018-09-19 11:18:34
Yaya Touré,Manchester City,Barclays PL,CM,Gold,86,91,86,84,86,33,65,2018-09-19 11:18:34
Wayne Rooney,Manchester Utd,Barclays PL,ST,Gold,86,81,84,82,80,46,72,2018-09-19 11:18:34
Sergio Agüero,Manchester City,Barclays PL,ST,Gold,86,75,74,86,87,27,58,2018-09-19 11:18:34
Ángel Di María,Manchester Utd,Barclays PL,CAM,Gold,86,66,59,75,71,88,78,2018-09-19 11:18:34
Marco Reus,Bor. Dortmund,Bundesliga,LM,Gold,86,90,80,72,92,30,58,2018-09-19 11:18:34
Thomas Müller,FC Bayern,Bundesliga,RM,Gold,86,80,80,84,85,40,72,2018-09-19 11:18:34
Mesut Özil,Arsenal,Barclays PL,CAM,Gold,86,79,85,70,80,41,82,2018-09-19 11:18:34
Mats Hummels,Bor. Dortmund,Bundesliga,CB,Gold,86,78,76,86,89,65,75,2018-09-19 11:18:34
Neymar,FC Barcelona,Liga BBVA,LW,Gold,86,74,82,90,89,67,72,2018-09-19 11:18:34
James Rodríguez,Real Madrid,Liga BBVA,CAM,Gold,86,86,83,84,90,40,65,2018-09-19 11:18:34
Edinson Cavani,PSG,Ligue 1,ST,Gold,86,79,78,80,81,81,83,2018-09-19 11:18:34
Arda Turan,FC Barcelona,Liga BBVA,LM,Gold,85,98,88,73,85,40,77,2018-09-19 11:18:34
Miralem Pjanić,Roma,Serie A,CM,Gold,85,73,72,85,82,80,90,2018-09-19 11:18:34
Pedro,FC Barcelona,Liga BBVA,LW,Gold,85,50,89,87,81,70,80,2018-09-19 11:18:34
Arturo Vidal,FC Bayern,Bundesliga,CM,Gold,85,98,85,92,95,37,63,2018-09-19 11:18:34
Obafemi Martins,Sounders FC,MLS,ST,Gold,85,86,86,78,87,46,84,2018-09-19 11:18:34
Michael Bradley,Toronto FC,MLS,CM,Gold,85,82,73,88,89,70,73,2018-09-19 11:18:34
Frank Lampard,NY City FC,MLS,CM,Gold,85,88,73,87,86,84,74,2018-09-19 11:18:34
Sebastian Giovinco,Toronto FC,MLS,CF,Gold,85,74,64,68,70,93,90,2018-09-19 11:18:34
Carlos Tévez,Boca Juniors,Primera División,ST,Gold,85,91,85,72,86,31,74,2018-09-19 11:18:34
İlkay Gündoğan,Bor. Dortmund,Bundesliga,CM,Gold,85,85,82,87,90,76,65,2018-09-19 11:18:34
Dani Alves,FC Barcelona,Liga BBVA,RB,Gold,85,89,84,80,92,70,82,2018-09-19 11:18:34
Nicolás Otamendi,Valencia CF,Liga BBVA,CB,Gold,85,72,94,82,82,55,87,2018-09-19 11:18:34
Daniel Sturridge,Liverpool,Barclays PL,ST,Gold,85,80,75,86,85,85,80,2018-09-19 11:18:34
Alex Teixeira,FC Shakhtar,Ukrayina Liha,CAM,Gold,85,72,55,70,70,88,85,2018-09-19 11:18:34
Georginio Wijnaldum,PSV,Eredivisie,CM,Gold,85,98,82,83,90,40,70,2018-09-19 11:18:34
Luuk de Jong,PSV,Eredivisie,ST,Gold,85,84,95,84,87,50,91,2018-09-19 11:18:34
Maxwell,PSG,Ligue 1,LB,Gold,85,84,82,87,91,40,55,2018-09-19 11:18:34
Gonzalo Rodríguez,Fiorentina,Serie A,CB,Gold,85,67,71,84,78,74,83,2018-09-19 11:18:34
Vitolo,Sevilla FC,Liga BBVA,LM,Gold,85,71,64,77,78,86,89,2018-09-19 11:18:34
Patrick Herrmann,Bor. M'gladbach,Bundesliga,RM,Gold,85,72,68,76,77,84,87,2018-09-19 11:18:34
Hulk,Zenit,Russian League,RW,Gold,85,82,87,70,82,50,84,2018-09-19 11:18:34
Shinji Kagawa,Bor. Dortmund,Bundesliga,CAM,Gold,85,91,89,79,89,47,84,2018-09-19 11:18:34
Tiago,Atlético Madrid,Liga BBVA,CM,Gold,85,43,52,61,56,89,86,2018-09-19 11:18:34
Maxime Gonalons,Olympique Lyon,Ligue 1,CDM,Gold,85,76,85,86,85,61,74,2018-09-19 11:18:34
